POS,Player,Mat,Inns,Ov,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w
1,Harshal Patel,15,15,56.2,459,32,5/27,14.34,8.14,10.56,1,1
2,Avesh Khan,16,16,61,450,24,3/13,18.75,7.37,15.25,0,0
3,Jasprit Bumrah,14,14,55,410,21,3/36,19.52,7.45,15.71,0,0
4,Shardul Thakur,16,16,59.5,527,21,3/28,25.09,8.8,17.09,0,0
5,Mohammad Shami,14,14,52.4,395,19,3/21,20.78,7.5,16.63,0,0
6,Varun Chakaravarthy,17,17,68,448,18,3/13,24.88,6.58,22.66,0,0
7,Rashid Khan,14,14,56,375,18,3/36,20.83,6.69,18.66,0,0
8,Yuzvendra Chahal,15,15,53,374,18,3/11,20.77,7.05,17.66,0,0
9,Arshdeep Singh,12,12,41.2,342,18,5/32,19,8.27,13.77,0,1
10,Sunil Narine,14,14,56,361,16,4/21,22.56,6.44,21,1,0
11,Jason Holder,8,8,31.5,247,16,4/52,15.43,7.75,11.93,1,0
12,Axar Patel,12,12,46,306,15,3/21,20.4,6.65,18.4,0,0
13,Kagiso Rabada,15,15,56,456,15,3/36,30.4,8.14,22.4,0,0
14,Chris Morris,11,11,41,376,15,4/23,25.06,9.17,16.4,1,0
15,Dwayne Bravo,11,11,33.4,263,14,3/24,18.78,7.81,14.42,0,0
16,Chetan Sakariya,14,14,52,426,14,3/31,30.42,8.19,22.28,0,0
17,Deepak Chahar,15,15,54,451,14,4/13,32.21,8.35,23.14,2,0
18,Mustafizur Rahman,14,14,51.5,436,14,3/20,31.14,8.41,22.21,0,0
19,Ravindra Jadeja,16,16,49,346,13,3/13,26.61,7.06,22.61,0,0
20,Rahul Chahar,11,11,43,318,13,4/27,24.46,7.39,19.84,1,0
21,Lockie Ferguson,8,8,30,224,13,3/18,17.23,7.46,13.84,0,0
22,Trent Boult,14,14,51.2,406,13,3/28,31.23,7.9,23.69,0,0
23,Anrich Nortje,8,8,30.2,187,12,2/12,15.58,6.16,15.16,0,0
24,Ravi Bishnoi,9,9,35,222,12,3/24,18.5,6.34,17.5,0,0
25,Prasidh Krishna,10,10,38.3,351,12,3/30,29.25,9.11,19.25,0,0
26,Mohammed Siraj,15,15,52,353,11,3/27,32.09,6.78,28.36,0,0
27,Shivam Mavi,9,9,32.1,233,11,4/21,21.18,7.24,17.54,1,0
28,Josh Hazlewood,9,9,35,293,11,3/24,26.63,8.37,19.09,0,0
29,Andre Russell,10,8,19,188,11,5/15,17.09,9.89,10.36,0,1
30,Pat Cummins,7,7,26.5,237,9,3/24,26.33,8.83,17.88,0,0
31,Kyle Jamieson,9,9,28,269,9,3/41,29.88,9.6,18.66,0,0
32,Sam Curran,9,9,33,328,9,3/34,36.44,9.93,22,0,0
33,Rahul Tewatia,14,13,37,340,8,3/39,42.5,9.18,27.75,0,0
34,Nathan Coulter-Nile,5,5,20,127,7,4/14,18.14,6.35,17.14,1,0
35,Shahbaz Ahmed,11,6,14,92,7,3/7,13.14,6.57,12,0,0
36,Ravichandran Ashwin,13,13,44.4,331,7,2/27,47.28,7.41,38.28,0,0
37,Siddarth Kaul,8,8,30,247,7,2/31,35.28,8.23,25.71,0,0
38,Moeen Ali,15,10,25.2,161,6,3/7,26.83,6.35,25.33,0,0
